Timestamp,GBP,USD
27/07/2023 10:01,0.85730903,1.11381028
27/07/2023 10:01,0.85730903,1.11381028
27/07/2023 10:16,0.85733356,1.11396758
27/07/2023 10:31,0.85743783,1.11320551
27/07/2023 10:44,0.85743783,1.11320551
27/07/2023 10:47,0.85828939,1.11297799
2023-07-27 11:04:01,0.85824805,1.11369253
2023-07-27 11:04:19,0.85824805,1.11369253
2023-07-27 11:04:29,0.85824805,1.11369253
2023-07-27 11:04:39,0.85824805,1.11369253
2023-07-27 11:04:50,0.85824805,1.11369253
2023-07-27 11:05:37,0.85824805,1.11369253
2023-07-27 11:05:48,0.85824805,1.11369253
2023-07-27 11:05:58,0.85824805,1.11369253
2023-07-27 11:06:47,0.85824805,1.11369253
2023-07-27 11:07:18,0.85824805,1.11369253
2023-07-27 11:17:18,0.85931154,1.11466677
2023-07-27 11:27:19,0.85931154,1.11466677
2023-07-27 11:37:21,0.85978549,1.1145461
2023-07-27 11:47:21,0.85934872,1.11435078
2023-07-27 11:57:22,0.85934872,1.11435078
2023-07-27 12:02:11,0.85955433,1.11372662
2023-07-27 12:17:12,0.85931687,1.11353873
2023-07-27 12:32:13,0.85924009,1.11358477
2023-07-27 12:47:14,0.8594135,1.11402981
2023-07-27 13:02:21,0.85911032,1.11365012
2023-07-27 13:17:21,0.85879382,1.11264089
2023-07-27 13:32:22,0.85775435,1.10963289
2023-07-27 13:38:40,0.85775435,1.10963289
2023-07-27 13:58:41,0.85763292,1.10780505
2023-07-27 14:18:43,0.85684791,1.10375168
2023-07-27 14:38:44,0.85648139,1.10271034
2023-07-27 14:58:45,0.8559486,1.10008851
2023-07-27 15:18:47,0.85696028,1.10032585
2023-07-27 15:38:48,0.85665996,1.09943634
2023-07-27 15:58:49,0.85613701,1.09901235
2023-07-27 16:18:50,0.85514831,1.09900618
2023-07-27 16:38:51,0.85483225,1.09925186
2023-07-27 16:58:52,0.85496256,1.09980438
2023-07-27 17:18:53,0.85542583,1.09932388
2023-07-27 17:38:54,0.85638952,1.09995064
2023-07-27 17:58:55,0.85609098,1.0995048
2023-07-27 18:18:56,0.85657869,1.10065293
2023-07-27 18:38:56,0.85647083,1.09974034
2023-07-27 18:58:57,0.85668201,1.09950713
2023-07-27 19:18:58,0.85707436,1.09923798
2023-07-27 19:38:59,0.85668958,1.09831146
2023-07-27 19:59:00,0.85696984,1.09770137
2023-07-27 20:19:01,0.85740778,1.09722517
2023-07-27 20:39:04,0.85740075,1.09683618
2023-07-27 20:59:05,0.85757364,1.09676191
2023-07-27 21:19:06,0.85770869,1.09690024
2023-07-27 21:39:07,0.85790238,1.09741075
2023-07-27 21:59:08,0.85783893,1.09761559
2023-07-27 22:19:09,0.8578179,1.09785978
2023-07-27 22:39:10,0.85789351,1.09775302
2023-07-27 22:59:11,0.85777196,1.09781162
2023-07-27 23:19:11,0.85799099,1.09814868
2023-07-27 23:39:12,0.85816919,1.09829529
2023-07-27 23:59:17,0.85818315,1.09826998
2023-07-28 00:19:29,0.85807045,1.09768669
2023-07-28 00:39:31,0.85822985,1.09810664
2023-07-28 00:59:32,0.85822001,1.09814392
2023-07-28 01:19:32,0.85813768,1.09810673
2023-07-28 01:39:33,0.85818348,1.09799383
2023-07-28 01:59:34,0.85848475,1.09805176
2023-07-28 02:19:35,0.8581332,1.09776405
2023-07-28 02:39:36,0.8582476,1.09795391
2023-07-28 02:59:37,0.85823653,1.09831437
2023-07-28 03:19:38,0.85838172,1.09792609
2023-07-28 03:39:39,0.85851874,1.09827342
2023-07-28 03:59:40,0.85827144,1.09822293
2023-07-28 04:19:41,0.85805619,1.09840408
2023-07-28 04:39:42,0.8578895,1.09813819
2023-07-28 04:59:43,0.85797868,1.09837588
2023-07-28 05:19:44,0.85883158,1.09696018
2023-07-28 05:39:44,0.8586253,1.09617922
2023-07-28 05:59:45,0.85847114,1.09671866
2023-07-28 06:19:50,0.85834102,1.0971013
2023-07-28 06:39:51,0.85817842,1.09692727
2023-07-28 06:59:52,0.85817595,1.09662476
2023-07-28 07:19:54,0.85846857,1.09796047
2023-07-28 07:39:58,0.85842784,1.0983239
2023-07-28 08:00:00,0.85766625,1.09779767
2023-07-28 08:20:01,0.85766217,1.09668033
2023-07-28 08:40:01,0.85733524,1.09601947
2023-07-28 09:00:02,0.85725927,1.09608919
2023-07-28 09:20:04,0.85690032,1.09533874
2023-07-28 09:40:06,0.8563089,1.09547003
2023-07-28 10:00:16,0.85568453,1.09591854
2023-07-28 10:20:17,0.85566113,1.096191
2023-07-28 10:40:18,0.85550275,1.09632911
2023-07-28 11:00:19,0.85612655,1.0975061
2023-07-28 11:20:22,0.85614445,1.09750893
2023-07-28 11:40:23,0.85601451,1.09856594
2023-07-28 12:00:24,0.85534735,1.09935009
2023-07-28 12:20:29,0.85509591,1.10038806
2023-07-28 12:40:30,0.85551917,1.10144266
2023-07-28 13:00:39,0.85533529,1.10093001
2023-07-28 13:20:40,0.85562811,1.10119572
2023-07-28 13:40:41,0.85596301,1.10175688
2023-07-28 14:00:42,0.85545018,1.10105282
2023-07-28 14:20:43,0.85588732,1.1002735
2023-07-28 14:40:45,0.85552298,1.09998954
2023-07-28 15:00:46,0.85668013,1.10113188
2023-07-28 15:20:50,0.85700433,1.10356035
2023-07-28 15:40:51,0.85734022,1.10400652
2023-07-28 16:01:17,0.85797412,1.1035408
2023-07-28 16:21:18,0.8576901,1.10286988
2023-07-28 16:41:19,0.85778846,1.10317101
2023-07-28 17:01:20,0.85780124,1.1038779
2023-07-28 17:21:20,0.85727091,1.10381806
